site_id,country,lat_deg,lon_deg,max_depth_m,measurement_year,prior_gst_c,mean_kappa_w_m_k,mean_grad_k_per_km,n_samples
BY-Brest,,52.18,23.7,210.0,1986.47,8.0,2.5,22.0,39
US-CO5-14,,38.27,-105.5,235.0,1967.77,9.0,3.23,25.49,18
US-CO5-15,,38.27,-105.5,220.0,1967.77,10.0,2.68,26.2,17
US-CO5-20,,39.78,-105.2,530.0,1964.88,12.0,3.01,22.23,52
US-CO5-22,,39.43,-106.1,510.0,1967.67,4.0,3.5,38.5,36
US-CO5-23,,37.93,-107.6,375.0,1967.67,7.0,3.87,55.54,28
US-CO5-24,,39.0,-107.0,210.0,1964.82,3.5,2.95,26.45,20
US-CO5-6,,39.87,-105.5,375.0,1967.87,2.0,2.47,24.8,18
US-CO5-8,,38.68,-106.5,480.0,1967.51,2.0,2.8,25.2,42
US-ME7-34,,44.4,-68.62,350.0,1965.82,7.0,3.91,15.6,34
US-ME7-35,,44.05,-70.62,300.0,1964.83,7.0,3.4,22.85,23
US-NV3-134,,38.57,-116.9,594.36,1968.64,10.0,2.99,25.58,65
AL-Kolonja-10,Albania,40.25,19.67,300.0,1977.41,18.0,2.5,17.0,26
AU-1,Australia,-20.53,139.48,228.6,1969.61,28.87,3.7599,16.27,24
AU-10,Australia,-34.0,151.25,449.58,1972.51,15.21,2.7215,28.159,57
AU-11,Australia,-32.55,138.48,376.03,1972.86,20.24,5.4012,16.87,44
AU-12,Australia,-20.55,139.48,297.18,1969.62,28.622,3.8311,19.011,33
AU-13,Australia,-31.45,145.48,297.49,1971.0,21.104,4.44,21.186,18
AU-14,Australia,-42.2,148.2,600.0,1982.88,13.16,3.37,28.28,59
AU-15,Australia,-35.6,149.45,262.71,1973.07,13.27,4.3963,22.83,40
AU-16,Australia,-19.68,123.23,300.0,1979.0,30.23,3.5,19.91,28
AU-17,Australia,-20.32,140.2,548.64,1974.22,29.382,4.15,24.055,35
AU-18,Australia,-38.13,141.53,353.57,1972.62,15.229,1.55,32.355,40
AU-19,Australia,-32.8,144.2,260.15,1982.36,22.405,3.48,22.671,45
AU-2,Australia,-20.11,133.66,304.79,1974.22,31.945,4.08,24.76,19
AU-20,Australia,-31.2,121.68,304.35,1971.51,21.124,3.2449,10.821,35
AU-21,Australia,-35.08,139.25,246.0,1982.0,18.034,4.56,19.18,20
AU-22,Australia,-16.47,136.05,300.0,1983.58,29.036,2.17,32.055,26
AU-23,Australia,-20.53,139.48,388.62,1969.61,27.611,4.857,19.035,22
AU-24,Australia,-32.25,140.93,321.78,1971.64,20.801,2.667,25.444,22
AU-25,Australia,-35.33,141.2,250.0,1980.0,16.711,2.25,41.655,20
AU-26,Australia,-34.42,150.75,237.74,1972.68,12.846,3.1403,27.219,36
AU-27,Australia,-32.33,121.61,442.0,1964.0,20.202,3.14,15.311,27
AU-28,Australia,-42.0,146.5,314.84,1970.0,7.44,1.97,43.3,10
AU-3,Australia,-13.03,131.08,241.62,1971.65,30.26,5.0788,16.228,30
AU-30,Australia,-37.05,142.78,291.0,1964.0,16.382,4.52,27.05,22
AU-31,Australia,-35.3,149.15,226.0,1964.0,15.91,3.433,25.169,33
AU-32,Australia,-35.07,149.57,284.47,1971.44,14.671,3.37,22.93,48
AU-33,Australia,-34.07,149.57,264.86,1971.44,14.539,3.425,23.98,49
AU-34,Australia,-20.53,139.48,363.32,1969.61,27.696,5.0244,21.216,24
AU-35,Australia,-30.61,134.5,303.58,1972.87,23.187,3.174,15.907,37
AU-36,Australia,-19.66,134.22,264.3,1972.78,28.909,3.72,25.209,22
AU-37,Australia,-19.45,133.82,350.52,1969.62,29.756,3.6008,31.032,24
AU-38,Australia,-19.45,133.82,350.52,1969.62,29.619,3.6008,31.447,19
AU-39,Australia,-19.45,133.82,350.52,1969.62,29.549,3.6008,31.356,20
AU-4,Australia,-33.2,139.47,307.39,1972.64,20.593,3.492,18.374,29
AU-40,Australia,-34.31,150.73,312.42,1972.9,14.264,3.936,22.292,35
AU-41,Australia,-31.63,121.53,302.81,1971.68,20.771,2.885,12.402,19
AU-42,Australia,-32.98,135.55,304.19,1973.67,20.112,3.785,15.198,82
AU-43,Australia,-20.53,139.48,320.04,1969.61,28.898,3.559,17.117,20
AU-44,Australia,-20.53,139.48,243.84,1969.61,28.481,3.8311,20.183,27
AU-45,Australia,-23.63,150.37,304.8,1974.96,22.107,3.5,17.927,16
AU-46,Australia,-28.48,122.23,212.1,1971.53,24.579,4.4131,9.8016,33
AU-47,Australia,-28.5,122.23,318.19,1971.53,24.411,3.8646,10.501,43
AU-49,Australia,-33.2,139.47,297.18,1972.64,20.6,3.45,15.56,27
AU-5,Australia,-37.83,149.27,242.5,1973.07,15.69,4.9,20.17,24
AU-50,Australia,-42.83,147.25,274.31,1976.5,12.22,2.3,35.03,15
AU-51,Australia,-31.23,121.68,295.61,1971.53,23.1,3.61,58.4,37
AU-52,Australia,-26.42,119.08,450.0,1970.0,25.53,2.5,17.8,9
